# רשימת כתובות URL לבדיקת מערכת/פילטר לזיהוי פישינג
# הערה: כתובות ה"חשודות" הן דוגמאות מומצאות שממחישות דפוסי פישינג נפוצים,
# ואינן מובילות לאתרים אמיתיים. אין להשתמש בהן לשום מטרה מלבד בדיקת המערכת.

## ============================
## כתובות אמיתיות ולגיטימיות
## ============================
[REAL] https://www.google.com
[REAL] https://www.paypal.com
[REAL] https://www.bankhapoalim.co.il
[REAL] https://www.bankleumi.co.il
[REAL] https://www.gov.il
[REAL] https://www.amazon.com
[REAL] https://www.microsoft.com
[REAL] https://www.apple.com
[REAL] https://www.facebook.com
[REAL] https://www.netflix.com
[REAL] https://www.linkedin.com
[REAL] https://mail.google.com
[REAL] https://www.dropbox.com
[REAL] https://www.instagram.com
[REAL] https://www.wikipedia.org
[REAL] https://www.ynet.co.il
[REAL] https://www.walla.co.il
[REAL] https://www.office.com
[REAL] https://www.chase.com
[REAL] https://www.hsbc.com

## ==========================================
## דוגמאות חשודות - טעויות כתיב במותג (typosquatting)
## ==========================================
[SUSPICIOUS] https://www.paypa1.com/login-verify
[SUSPICIOUS] https://paypaI-secure.com/account
[SUSPICIOUS] https://www.arnazon-support.com/order
[SUSPICIOUS] https://www.g00gle-security.com/alert
[SUSPICIOUS] https://faceb00k-login.net/confirm
[SUSPICIOUS] https://microsoft-account-verify.info
[SUSPICIOUS] https://www.appleid-locked.com/unlock
[SUSPICIOUS] https://netfl1x-billing.com/update-payment
[SUSPICIOUS] https://www.bank-hapoalim-verify.com/login
[SUSPICIOUS] https://leumi-bank-secure.net/auth

## ==========================================
## דוגמאות חשודות - תת-דומיין מטעה
## ==========================================
[SUSPICIOUS] https://paypal.com.secure-login.ru/verify
[SUSPICIOUS] https://www.google.com.account-check.top/signin
[SUSPICIOUS] https://amazon.com.order-confirm.xyz
[SUSPICIOUS] https://microsoft.com.password-reset.site/reset
[SUSPICIOUS] https://gov.il.tax-refund-claim.info

## ==========================================
## דוגמאות חשודות - כתובות IP גולמיות / URL מקוצר
## ==========================================
[SUSPICIOUS] http://192.168.45.221/login/verify.php
[SUSPICIOUS] http://45.33.102.87/bank/secure
[SUSPICIOUS] https://bit.ly/3xF9k2Q
[SUSPICIOUS] https://tinyurl.com/verify-account-now

## ==========================================
## דוגמאות חשודות - TLD יוצא דופן + מילות פיתוי
## ==========================================
[SUSPICIOUS] https://account-verification-required.tk
[SUSPICIOUS] https://you-won-a-prize-claim-now.xyz
[SUSPICIOUS] https://urgent-security-alert-2026.top
[SUSPICIOUS] https://password-expired-renew.click
[SUSPICIOUS] https://tax-refund-israel-2026.info
[SUSPICIOUS] https://invoice-overdue-payment.buzz
[SUSPICIOUS] https://covid-relief-fund-apply.online

## ==========================================
## דוגמאות חשודות - שילוב מספרים/תווים אקראיים
## ==========================================
[SUSPICIOUS] https://secure-login8347.com/verify
[SUSPICIOUS] https://acc0unt-update-x92.net
[SUSPICIOUS] https://myb4nk-portal-login.com
